scenario,eta_charge,eta_discharge,roundtrip_efficiency,objective,total_purchase,total_charge,total_discharge,method,feasible
single_0.80,0.8,0.8,0.6400000000000001,38223.65161906145,64053.86823333332,23644.154999999995,15132.2592,LP,True
single_0.85,0.85,0.85,0.7224999999999999,36603.40648002707,61728.97512460496,22295.505193771627,16108.502502499998,LP,True
single_0.90,0.9,0.9,0.81,35126.948589289634,59482.69899835391,20740.66613168725,16799.939566666668,LP,True
single_0.95,0.95,0.95,0.9025,33767.03262075283,57472.64310064636,19801.750433979694,17871.07976666667,LP,True
single_1.00,1.0,1.0,1.0,32377.088240581663,55541.97243333333,31660.492466666663,31660.492466666667,LP,True
roundtrip_0.90,0.9486832980505138,0.9486832980505138,0.8999999999999999,33801.495542222016,57526.24348088351,19842.710475501775,17858.4394279516,LP,True
