series,horizon,method,target_start,target_end,days,MAE_kw,RMSE_kw,bias_kw,daily_energy_MAE_kwh,daily_energy_bias_kwh
load,0,RIDGE_R6,2025-02-01,2025-12-31,334,161.99250796630506,215.52197123492945,7.128098640382883,1942.6360929716698,171.07436736918916
load,0,SNAIVE_load_lag7_PV_lag1,2025-02-01,2025-12-31,334,176.79572117223884,244.28661499529923,1.9494697043413223,1635.333984780439,46.78727290419162
pv,0,RIDGE_R6,2025-02-01,2025-12-31,334,159.8011895054386,304.21524929216775,13.756466455012989,2088.1947678091487,330.15519492031177
pv,0,SNAIVE_load_lag7_PV_lag1,2025-02-01,2025-12-31,334,185.34649152736193,375.1748781365903,0.7610173132900867,2372.3995348802396,18.26441551896205
load,1,RIDGE_R6,2025-02-01,2025-12-31,334,174.49502037494406,236.54382821784924,4.162794789638097,2394.4407942107982,99.90707495131436
load,1,SNAIVE_load_lag7_PV_lag1,2025-02-01,2025-12-31,334,176.79572117223884,244.28661499529923,1.9494697043413223,1635.333984780439,46.78727290419162
pv,1,RIDGE_R6,2025-02-01,2025-12-31,334,165.33968117568642,316.7999294097142,11.50788478270384,2302.818754600485,276.1892347848921
pv,1,SNAIVE_load_lag7_PV_lag1,2025-02-01,2025-12-31,334,187.89976950681967,383.7062303384,1.380573290918164,2580.727616267465,33.133758982035985
