date,C0_yuan,C1_yuan,C2_yuan,saving_C0_C1,saving_C1_C2,saving_C0_C2
2025-02-01,22636.46041230812,22563.437275645967,22238.576843415343,73.02313666215196,324.8604322306237,397.88356889277566
2025-02-02,55959.652409414855,55768.737070904644,55216.75324361165,190.91533851021086,551.9838272929919,742.8991658032028
2025-02-03,57874.65867888,58774.97311475901,58742.64282895539,-900.3144358790087,32.33028580361861,-867.9841500753901
2025-02-04,58265.293750109035,58294.70259585307,58557.69454184827,-29.408845744037535,-262.9919459951998,-292.4007917392373
2025-02-05,58840.98860626482,59624.247839010495,58023.60515027346,-783.2592327456732,1600.6426887370326,817.3834559913594
2025-02-06,58890.077010277135,59545.74119284302,59631.704646455786,-655.664182565888,-85.96345361276326,-741.6276361786513
2025-02-07,24175.565020555045,24176.265938080047,23830.81466024745,-0.7009175250022963,345.4512778325952,344.7503603075929
2025-02-08,27748.214454861063,28120.365742211066,26888.499289533156,-372.15128735000326,1231.8664526779103,859.715165327907
2025-02-09,60261.881885679635,58611.69619223012,57771.28123495954,1650.1856934495154,840.4149572705792,2490.6006507200946
2025-02-10,53448.99089162862,54251.2257633548,53707.70531386946,-802.2348717261775,543.5204494853388,-258.71442224083876
2025-02-11,58296.62946006086,58709.27522760455,58601.42346572242,-412.64576754369045,107.8517618821279,-304.79400566156255
2025-02-12,55422.85492050573,59015.78965847144,60265.381448062006,-3592.934737965712,-1249.591789590566,-4842.526527556278
2025-02-13,52081.8749920911,52064.709684188725,51184.19060427096,17.16530790237448,880.5190799177653,897.6843878201398
2025-02-14,23360.704208399304,24194.883442748767,23497.276591024685,-834.1792343494635,697.6068517240819,-136.57238262538158
2025-02-15,26819.014886896293,26768.635978540176,27110.964197954243,50.37890835611688,-342.32821941406655,-291.94931105794967
2025-02-16,56338.871735390276,62121.01721405708,64802.75976479587,-5782.145478666804,-2681.742550738789,-8463.888029405593
2025-02-17,55512.78258772149,57302.66052983311,57016.02618456957,-1789.8779421116196,286.63434526354104,-1503.2435968480786
2025-02-18,61294.95436573933,59904.450422401234,55133.01416442358,1390.5039433380953,4771.436257977657,6161.940201315752
2025-02-19,62253.881499776406,61638.03503128074,56989.78832829554,615.8464684956634,4648.246702985205,5264.0931714808685
2025-02-20,52042.524385142046,54242.68359051805,53884.682832527265,-2200.1592053760032,358.0007579907833,-1842.15844738522
2025-02-21,22671.65689757093,22623.971988594916,22271.836268599956,47.68490897601441,352.1357199949598,399.8206289709742
2025-02-22,22905.022148633358,22685.76276112244,22598.49214140041,219.25938751091599,87.27061972203228,306.53000723294826
2025-02-23,54238.546116267535,53853.17429006621,56383.789504874374,385.3718262013281,-2530.6152148081674,-2145.2433886068393
2025-02-24,50323.11990147031,53386.92035143145,50293.94751099952,-3063.8004499611416,3092.972840431932,29.17239047079056
2025-02-25,49516.59926376505,50741.38737311929,51232.66202467143,-1224.7881093542383,-491.27465155214304,-1716.0627609063813
2025-02-26,61183.159555242004,59025.03869328532,50230.77274752866,2158.1208619566823,8794.265945756662,10952.386807713345
2025-02-27,52044.48561517214,51901.127031714495,50296.05706232507,143.35858345764427,1605.0699693894276,1748.4285528470718
2025-02-28,20183.59450482278,19790.205267561498,19726.000223639356,393.3892372612827,64.20504392214207,457.59428118342475
2025-03-01,20175.580541251562,20260.757007918226,20423.689886735432,-85.17646666666406,-162.93287881720607,-248.10934548387013
2025-03-02,51291.18544749377,53698.46432382015,52603.84590210182,-2407.2788763263816,1094.6184217183327,-1312.660454608049
2025-03-03,55103.774118483765,56628.88138288229,52714.871225740855,-1525.1072643985244,3914.0101571414343,2388.90289274291
2025-03-04,51857.66302039052,51340.822585318485,48760.46357936834,516.8404350720375,2580.359005950144,3097.1994410221814
2025-03-05,48102.134759413115,49149.679330704814,50402.633259051676,-1047.544571291699,-1252.953928346862,-2300.498499638561
2025-03-06,46016.26343375237,45498.401839502,45661.51179233065,517.8615942503675,-163.10995282865042,354.75164142171707
2025-03-07,18584.316391948465,18594.670141505077,18871.78119266057,-10.353749556612456,-277.1110511554907,-287.46480071210317
2025-03-08,23151.876185372115,23040.99125427021,22897.79391947208,110.88493110190393,143.19733479813294,254.08226590003687
2025-03-09,49592.826566107884,48060.169933082405,47590.24408525997,1532.656633025479,469.9258478224365,2002.5824808479156
2025-03-10,54711.12575036783,53884.31494255564,50841.603195021424,826.8108078121877,3042.7117475342166,3869.5225553464043
2025-03-11,75024.69215588564,64977.2234110092,47809.0001838493,10047.468744876438,17168.223227159906,27215.691972036344
2025-03-12,45601.57849922875,46382.936732734466,47257.60902744164,-781.3582335057145,-874.6722947071758,-1656.0305282128902
2025-03-13,48281.17572004699,48979.65575107999,48790.46102234461,-698.4800310330029,189.19472873538325,-509.28530229761964
2025-03-14,19150.491868536377,19379.689949106094,18943.0810712663,-229.1980805697167,436.6088778397934,207.41079727007673
2025-03-15,23745.391346718385,24385.826600083623,23983.31544244799,-640.4352533652382,402.5111576356321,-237.92409572960605
2025-03-16,47453.20965664586,51349.745697587445,47151.501834355775,-3896.536040941588,4198.24386323167,301.7078222900818
2025-03-17,47286.23145977619,45640.47274304407,45226.53863698306,1645.758716732118,413.9341060610095,2059.6928227931276
2025-03-18,45441.92230457404,48801.550642893715,48537.945109258355,-3359.6283383196787,263.6055336353602,-3096.0228046843185
2025-03-19,66308.23864666527,59627.807159618,44615.57518131808,6680.431487047266,15012.231978299918,21692.663465347185
2025-03-20,48697.81759975806,46636.287422194386,48020.682953344716,2061.5301775636763,-1384.3955311503305,677.1346464133458
2025-03-21,20909.319725190246,21481.849300049875,21114.291341712924,-572.5295748596291,367.55795833695083,-204.97161652267823
2025-03-22,18385.82594704646,18901.14665947526,18965.410449123734,-515.3207124287983,-64.2637896484739,-579.5845020772722
2025-03-23,44878.867320131874,46395.73953484481,45162.45025196423,-1516.8722147129374,1233.2892828805852,-283.5829318323522
2025-03-24,41793.12727707,43997.096668700426,43518.97511769315,-2203.969391630424,478.1215510072725,-1725.8478406231516
2025-03-25,47095.36115399319,49489.68118617746,49087.307713867776,-2394.320032184274,402.3734723096859,-1991.9465598745883
2025-03-26,43994.86379179166,42265.79365079978,40954.59569326452,1729.0701409918765,1311.1979575352598,3040.2680985271363
2025-03-27,40107.38101949157,42533.47858489002,42474.94699399539,-2426.0975653984497,58.53159089462861,-2367.565974503821
2025-03-28,16644.909390960944,18152.634456977892,18124.751480795898,-1507.7250660169484,27.88297618199431,-1479.842089834954
2025-03-29,20118.18034213899,20954.373077808243,19680.274372936576,-836.192735669254,1274.098704871667,437.90596920241296
2025-03-30,42128.62800076274,42524.14839890853,43933.460113290515,-395.52039814578893,-1409.3117143819836,-1804.8321125277726
2025-03-31,61968.10419874596,54752.24067176551,42226.85401219862,7215.863526980451,12525.386659566888,19741.25018654734
2025-04-01,46004.97063919696,45632.70252044083,43937.99094609689,372.268118756132,1694.7115743439354,2066.9796931000674
2025-04-02,44292.12981582428,44338.330634731996,43689.18280833678,-46.200818907716894,649.1478263952158,602.9470074874989
2025-04-03,39463.74500014098,39754.580888009965,39442.00706598171,-290.83588786898326,312.5738220282583,21.737934159275028
2025-04-04,15925.697957871515,17001.633216757225,16916.963488723235,-1075.935258885711,84.6697280339904,-991.2655308517205
2025-04-05,19364.919750511173,19688.091892703254,19746.26730388416,-323.1721421920811,-58.17541118090594,-381.347553372987
2025-04-06,39982.07014511518,40041.30884757625,39054.52619081232,-59.23870246106526,986.7826567639277,927.5439543028624
2025-04-07,44063.69265998007,43823.94748693689,39588.48297031337,239.7451730431785,4235.4645166235205,4475.209689666699
2025-04-08,40764.25889279298,41121.67478500583,40593.26535886215,-357.4158922128481,528.409426143684,170.99353393083584
2025-04-09,42823.137442253224,45225.4484240662,41693.737518054666,-2402.310981812974,3531.7109060115326,1129.3999241985584
2025-04-10,36840.45607704014,42158.30061788105,39840.85217386647,-5317.84454084091,2317.448444014575,-3000.3960968263345
2025-04-11,19570.65915197576,19611.633379955467,19012.838450974865,-40.974227979706484,598.794928980602,557.8207010008955
2025-04-12,17203.747505661082,17700.314995013694,18098.43642216349,-496.56748935261203,-398.12142714979564,-894.6889165024077
2025-04-13,40252.00091237295,40128.4343267464,39047.07658535158,123.56658562654775,1081.3577413948224,1204.9243270213701
2025-04-14,38827.5130121896,40815.28830775713,42944.39441083981,-1987.7752955675314,-2129.106103082675,-4116.881398650206
2025-04-15,38749.13218610101,41020.75822880137,36454.84765950012,-2271.6260427003654,4565.910569301253,2294.284526600888
2025-04-16,40333.516184136184,42668.86282103569,40861.359782895015,-2335.346636899507,1807.503038140676,-527.8435987588309
2025-04-17,48380.403343742866,47709.23224046901,35981.313590590966,671.1711032738531,11727.918649878047,12399.0897531519
2025-04-18,14246.954091327492,15654.57528770899,15918.311244215703,-1407.6211963814985,-263.7359565067127,-1671.3571528882112
2025-04-19,17668.715148351817,18609.04491281701,18227.861428716296,-940.3297644651939,381.18348410071485,-559.146280364479
2025-04-20,41784.15427253172,40794.70257774053,36964.41413349424,989.4516947911907,3830.288444246289,4819.74013903748
2025-04-21,38659.78346797095,39724.20576027379,40653.38619079358,-1064.4222923028428,-929.1804305197875,-1993.6027228226303
2025-04-22,45554.13147231762,44122.01744469317,38273.82858142964,1432.1140276244478,5848.188863263531,7280.302890887979
2025-04-23,51140.92298527048,46419.36778926875,37270.22908846187,4721.555196001733,9149.138700806878,13870.69389680861
2025-04-24,31714.136719573344,31797.272384638964,32686.564941105946,-83.13566506561983,-889.2925564669822,-972.428221532602
2025-04-25,14411.785221109396,15544.104586054706,15416.902707630576,-1132.3193649453096,127.20187842412997,-1005.1174865211797
2025-04-26,17386.468258659424,17839.09885235336,18155.28867535435,-452.6305936939352,-316.18982300099015,-768.8204166949254
2025-04-27,42581.019931616705,45723.864999155994,37829.01163587742,-3142.8450675392887,7894.853363278577,4752.008295739288
